,DateTime,GEO,EN,ES,WN,WS,Stop,Total,lng,lat,geometry
64317,2023111423,"121.561,25.011",20,13,26,23,145,227,121.561,25.011,POINT (121.561 25.011)
64318,2023111423,"121.487,25.031",12,10,25,29,48,124,121.487,25.031,POINT (121.487 25.031)
64319,2023111423,"121.627,25.033",6,6,9,15,9,45,121.627,25.033,POINT (121.627 25.033)
64320,2023111423,"121.601,25.023",12,0,0,6,8,26,121.601,25.023,POINT (121.601 25.023)
64321,2023111423,"121.573,25.091",1,0,2,1,10,14,121.573,25.091,POINT (121.573 25.091)
64322,2023111423,"121.591,25.091",10,7,22,5,125,169,121.591,25.091,POINT (121.591 25.091)
64323,2023111423,"121.597,25.019",3,2,1,3,19,28,121.597,25.019,POINT (121.597 25.019)
64324,2023111423,"121.499,25.099",9,9,16,16,17,67,121.499,25.099,POINT (121.499 25.099)
64325,2023111423,"121.623,25.023",0,2,1,2,1,6,121.623,25.023,POINT (121.623 25.023)
64326,2023111423,"121.587,25.023",0,0,0,0,1,1,121.587,25.023,POINT (121.587 25.023)
64327,2023111423,"121.573,25.089",4,5,7,0,11,27,121.573,25.089,POINT (121.573 25.089)
64328,2023111423,"121.585,25.025",0,3,0,1,2,6,121.585,25.025,POINT (121.585 25.025)
64329,2023111423,"121.593,25.035",3,21,2,8,21,55,121.593,25.035,POINT (121.593 25.035)
64330,2023111423,"121.575,25.099",1,5,2,4,3,15,121.575,25.099,POINT (121.575 25.099)
64331,2023111423,"121.583,25.019",1,2,0,0,2,5,121.583,25.019,POINT (121.583 25.019)
64332,2023111423,"121.609,25.029",12,4,12,18,54,100,121.609,25.029,POINT (121.609 25.029)
64333,2023111423,"121.565,25.019",2,4,2,9,12,29,121.565,25.019,POINT (121.565 25.019)
64334,2023111423,"121.505,25.079",44,12,16,21,24,117,121.505,25.079,POINT (121.505 25.079)
64335,2023111423,"121.599,25.017",9,1,0,6,1,17,121.599,25.017,POINT (121.599 25.017)
64336,2023111423,"121.489,25.037",3,2,9,15,21,50,121.489,25.037,POINT (121.489 25.037)
64337,2023111423,"121.491,25.017",11,17,11,14,49,102,121.491,25.017,POINT (121.491 25.017)
64338,2023111423,"121.607,25.027",10,1,4,9,3,27,121.607,25.027,POINT (121.607 25.027)
64339,2023111423,"121.555,25.007",13,8,37,39,106,203,121.555,25.007,POINT (121.555 25.007)
64340,2023111423,"121.607,25.061",20,10,15,11,104,160,121.607,25.061,POINT (121.607 25.061)
64341,2023111423,"121.583,25.031",6,6,2,3,54,71,121.583,25.031,POINT (121.583 25.031)
64342,2023111423,"121.567,25.011",1,9,7,0,67,84,121.567,25.011,POINT (121.567 25.011)
64343,2023111423,"121.605,25.025",7,2,4,2,2,17,121.605,25.025,POINT (121.605 25.025)
64344,2023111423,"121.623,25.025",1,2,0,3,0,6,121.623,25.025,POINT (121.623 25.025)
64345,2023111423,"121.621,25.085",8,2,9,3,112,134,121.621,25.085,POINT (121.621 25.085)
64346,2023111423,"121.551,25.091",2,2,2,2,4,12,121.551,25.091,POINT (121.551 25.091)
64347,2023111423,"121.587,25.091",22,6,16,9,90,143,121.587,25.091,POINT (121.587 25.091)
64348,2023111423,"121.565,25.075",3,15,6,19,27,70,121.565,25.075,POINT (121.565 25.075)
64349,2023111423,"121.499,25.015",15,11,2,6,59,93,121.499,25.015,POINT (121.499 25.015)
64350,2023111423,"121.493,25.097",7,9,25,5,53,99,121.493,25.097,POINT (121.493 25.097)
64351,2023111423,"121.583,25.097",1,0,1,0,1,3,121.583,25.097,POINT (121.583 25.097)
64352,2023111423,"121.507,25.075",6,8,9,7,38,68,121.507,25.075,POINT (121.507 25.075)
64353,2023111423,"121.609,25.045",3,0,1,7,4,15,121.609,25.045,POINT (121.609 25.045)
64354,2023111423,"121.489,25.039",5,3,3,5,7,23,121.489,25.039,POINT (121.489 25.039)
64355,2023111423,"121.643,25.029",0,1,1,1,26,29,121.643,25.029,POINT (121.643 25.029)
64356,2023111423,"121.563,25.019",21,18,6,8,57,110,121.563,25.019,POINT (121.563 25.019)
64357,2023111423,"121.549,25.069",12,2,4,8,21,47,121.549,25.069,POINT (121.549 25.069)
64358,2023111423,"121.607,25.029",7,3,3,12,3,28,121.607,25.029,POINT (121.607 25.029)
64359,2023111423,"121.597,25.023",0,3,1,4,36,44,121.597,25.023,POINT (121.597 25.023)
64360,2023111423,"121.489,25.023",15,22,20,18,46,121,121.489,25.023,POINT (121.489 25.023)
64361,2023111423,"121.585,25.099",1,0,1,2,0,4,121.585,25.099,POINT (121.585 25.099)
64362,2023111423,"121.495,25.099",6,5,17,6,57,91,121.495,25.099,POINT (121.495 25.099)
64363,2023111423,"121.607,25.089",1,2,0,0,3,6,121.607,25.089,POINT (121.607 25.089)
64364,2023111423,"121.577,25.007",6,13,3,7,20,49,121.577,25.007,POINT (121.577 25.007)
64365,2023111423,"121.493,25.017",12,20,20,49,63,164,121.493,25.017,POINT (121.493 25.017)
64366,2023111423,"121.575,25.007",1,12,5,6,18,42,121.575,25.007,POINT (121.575 25.007)
64367,2023111423,"121.599,25.037",1,1,0,2,0,4,121.599,25.037,POINT (121.599 25.037)
64368,2023111423,"121.623,25.017",1,2,3,4,3,13,121.623,25.017,POINT (121.623 25.017)
64369,2023111423,"121.561,25.097",3,2,0,1,1,7,121.561,25.097,POINT (121.561 25.097)
64370,2023111423,"121.493,25.095",13,9,5,28,40,95,121.493,25.095,POINT (121.493 25.095)
64371,2023111423,"121.623,25.089",1,0,0,2,28,31,121.623,25.089,POINT (121.623 25.089)
64372,2023111423,"121.605,25.089",7,3,2,2,14,28,121.605,25.089,POINT (121.605 25.089)
64373,2023111423,"121.507,25.095",11,9,23,12,57,112,121.507,25.095,POINT (121.507 25.095)
64374,2023111423,"121.591,25.095",3,2,1,0,10,16,121.591,25.095,POINT (121.591 25.095)
64375,2023111423,"121.625,25.025",4,4,0,2,2,12,121.625,25.025,POINT (121.625 25.025)
64376,2023111423,"121.605,25.093",8,2,2,2,20,34,121.605,25.093,POINT (121.605 25.093)
64377,2023111423,"121.593,25.033",2,5,2,9,3,21,121.593,25.033,POINT (121.593 25.033)
64378,2023111423,"121.633,25.027",6,1,0,2,0,9,121.633,25.027,POINT (121.633 25.027)
64379,2023111423,"121.601,25.077",5,10,9,3,32,59,121.601,25.077,POINT (121.601 25.077)
64380,2023111423,"121.579,25.027",5,2,5,2,8,22,121.579,25.027,POINT (121.579 25.027)
64381,2023111423,"121.509,25.097",8,4,6,2,21,41,121.509,25.097,POINT (121.509 25.097)
64382,2023111423,"121.607,25.063",16,32,17,19,148,232,121.607,25.063,POINT (121.607 25.063)
64383,2023111423,"121.567,25.013",5,4,3,3,43,58,121.567,25.013,POINT (121.567 25.013)
64384,2023111423,"121.619,25.033",9,20,3,21,29,82,121.619,25.033,POINT (121.619 25.033)
64385,2023111423,"121.495,25.013",16,8,16,24,63,127,121.495,25.013,POINT (121.495 25.013)
64386,2023111423,"121.541,25.093",1,7,13,15,13,49,121.541,25.093,POINT (121.541 25.093)
64387,2023111423,"121.595,25.093",3,0,3,1,4,11,121.595,25.093,POINT (121.595 25.093)
64388,2023111423,"121.623,25.083",2,2,1,1,8,14,121.623,25.083,POINT (121.623 25.083)
64389,2023111423,"121.489,25.021",4,5,15,15,20,59,121.489,25.021,POINT (121.489 25.021)
64390,2023111423,"121.623,25.031",9,4,2,2,21,38,121.623,25.031,POINT (121.623 25.031)
64391,2023111423,"121.617,25.091",0,0,0,0,1,1,121.617,25.091,POINT (121.617 25.091)
64392,2023111423,"121.547,25.071",12,15,9,17,44,97,121.547,25.071,POINT (121.547 25.071)
64393,2023111423,"121.589,25.031",2,2,0,1,1,6,121.589,25.031,POINT (121.589 25.031)
64394,2023111423,"121.607,25.031",0,1,4,2,14,21,121.607,25.031,POINT (121.607 25.031)
64395,2023111423,"121.491,25.041",3,1,3,6,2,15,121.491,25.041,POINT (121.491 25.041)
64396,2023111423,"121.603,25.081",4,4,3,6,61,78,121.603,25.081,POINT (121.603 25.081)
64397,2023111423,"121.593,25.001",11,19,6,8,22,66,121.593,25.001,POINT (121.593 25.001)
64398,2023111423,"121.485,25.037",2,5,4,5,13,29,121.485,25.037,POINT (121.485 25.037)
64399,2023111423,"121.539,25.093",1,3,1,5,2,12,121.539,25.093,POINT (121.539 25.093)
64400,2023111423,"121.621,25.083",3,2,7,2,33,47,121.621,25.083,POINT (121.621 25.083)
64401,2023111423,"121.597,25.089",12,4,16,13,80,125,121.597,25.089,POINT (121.597 25.089)
64402,2023111423,"121.635,25.029",0,2,3,0,29,34,121.635,25.029,POINT (121.635 25.029)
64403,2023111423,"121.617,25.029",3,5,3,13,85,109,121.617,25.029,POINT (121.617 25.029)
64404,2023111423,"121.601,25.099",0,1,1,3,0,5,121.601,25.099,POINT (121.601 25.099)
64405,2023111423,"121.627,25.035",9,18,14,24,61,126,121.627,25.035,POINT (121.627 25.035)
64406,2023111423,"121.599,25.045",1,1,0,3,17,22,121.599,25.045,POINT (121.599 25.045)
64407,2023111423,"121.551,25.075",4,14,7,4,41,70,121.551,25.075,POINT (121.551 25.075)
64408,2023111423,"121.551,25.011",2,0,1,4,5,12,121.551,25.011,POINT (121.551 25.011)
64409,2023111423,"121.609,25.093",0,0,1,0,1,2,121.609,25.093,POINT (121.609 25.093)
64410,2023111423,"121.553,25.097",5,4,1,1,18,29,121.553,25.097,POINT (121.553 25.097)
64411,2023111423,"121.553,25.007",38,17,17,11,167,250,121.553,25.007,POINT (121.553 25.007)
64412,2023111423,"121.571,25.097",0,4,2,6,2,14,121.571,25.097,POINT (121.571 25.097)
64413,2023111423,"121.595,25.037",2,6,1,4,14,27,121.595,25.037,POINT (121.595 25.037)
64414,2023111423,"121.603,25.071",57,71,84,132,894,1238,121.603,25.071,POINT (121.603 25.071)
64415,2023111423,"121.553,25.031",235,268,330,365,3898,5096,121.553,25.031,POINT (121.553 25.031)
64416,2023111423,"121.605,25.051",7,30,1,22,82,142,121.605,25.051,POINT (121.605 25.051)
64417,2023111423,"121.525,25.041",119,124,147,126,2197,2713,121.525,25.041,POINT (121.525 25.041)
64418,2023111423,"121.499,25.031",70,60,99,133,1549,1911,121.499,25.031,POINT (121.499 25.031)
64419,2023111423,"121.601,25.091",34,18,22,13,378,465,121.601,25.091,POINT (121.601 25.091)
