,DateTime,GEO,EN,ES,WN,WS,Stop,Total,lng,lat,geometry
14478,2023111405,"121.499,25.043",11,9,31,28,84,163,121.499,25.043,POINT (121.499 25.043)
14479,2023111405,"121.583,25.013",0,1,3,0,3,7,121.583,25.013,POINT (121.583 25.013)
14480,2023111405,"121.531,25.075",3,3,15,5,18,44,121.531,25.075,POINT (121.531 25.075)
14481,2023111405,"121.595,25.063",19,27,16,31,106,199,121.595,25.063,POINT (121.595 25.063)
14482,2023111405,"121.611,25.085",1,0,0,0,8,9,121.611,25.085,POINT (121.611 25.085)
14483,2023111405,"121.561,25.067",10,4,12,6,51,83,121.561,25.067,POINT (121.561 25.067)
14484,2023111405,"121.589,25.057",13,19,13,26,98,169,121.589,25.057,POINT (121.589 25.057)
14485,2023111405,"121.569,25.063",35,19,17,17,311,399,121.569,25.063,POINT (121.569 25.063)
14486,2023111405,"121.577,25.003",4,5,6,3,13,31,121.577,25.003,POINT (121.577 25.003)
14487,2023111405,"121.549,25.013",1,10,3,9,50,73,121.549,25.013,POINT (121.549 25.013)
14488,2023111405,"121.607,25.065",18,21,12,26,89,166,121.607,25.065,POINT (121.607 25.065)
14489,2023111405,"121.525,25.075",19,18,45,14,35,131,121.525,25.075,POINT (121.525 25.075)
14490,2023111405,"121.585,25.015",0,2,1,0,13,16,121.585,25.015,POINT (121.585 25.015)
14491,2023111405,"121.613,25.077",20,14,22,16,314,386,121.613,25.077,POINT (121.613 25.077)
14492,2023111405,"121.585,25.033",2,7,1,2,4,16,121.585,25.033,POINT (121.585 25.033)
14493,2023111405,"121.537,25.079",11,14,16,21,175,237,121.537,25.079,POINT (121.537 25.079)
14494,2023111405,"121.493,25.099",8,17,21,13,217,276,121.493,25.099,POINT (121.493 25.099)
14495,2023111405,"121.599,25.049",10,15,2,6,116,149,121.599,25.049,POINT (121.599 25.049)
14496,2023111405,"121.509,25.071",16,19,31,25,235,326,121.509,25.071,POINT (121.509 25.071)
14497,2023111405,"121.597,25.001",13,4,3,10,50,80,121.597,25.001,POINT (121.597 25.001)
14498,2023111405,"121.571,25.059",12,9,9,8,97,135,121.571,25.059,POINT (121.571 25.059)
14499,2023111405,"121.535,25.081",7,4,9,10,109,139,121.535,25.081,POINT (121.535 25.081)
14500,2023111405,"121.555,25.011",1,1,7,2,8,19,121.555,25.011,POINT (121.555 25.011)
14501,2023111405,"121.607,25.031",1,1,4,6,4,16,121.607,25.031,POINT (121.607 25.031)
14502,2023111405,"121.567,25.069",11,12,18,13,35,89,121.567,25.069,POINT (121.567 25.069)
14503,2023111405,"121.625,25.081",10,9,13,10,125,167,121.625,25.081,POINT (121.625 25.081)
14504,2023111405,"121.591,25.091",7,3,15,4,72,101,121.591,25.091,POINT (121.591 25.091)
14505,2023111405,"121.559,25.011",11,3,14,11,60,99,121.559,25.011,POINT (121.559 25.011)
14506,2023111405,"121.611,25.031",10,6,6,15,219,256,121.611,25.031,POINT (121.611 25.031)
14507,2023111405,"121.497,25.091",6,4,10,9,7,36,121.497,25.091,POINT (121.497 25.091)
14508,2023111405,"121.537,25.019",6,9,3,12,43,73,121.537,25.019,POINT (121.537 25.019)
14509,2023111405,"121.621,25.079",5,2,17,4,52,80,121.621,25.079,POINT (121.621 25.079)
14510,2023111405,"121.617,25.029",1,11,3,3,102,120,121.617,25.029,POINT (121.617 25.029)
14511,2023111405,"121.585,25.005",6,2,4,5,36,53,121.585,25.005,POINT (121.585 25.005)
14512,2023111405,"121.549,25.095",24,28,14,15,151,232,121.549,25.095,POINT (121.549 25.095)
14513,2023111405,"121.583,25.025",0,0,0,2,4,6,121.583,25.025,POINT (121.583 25.025)
14514,2023111405,"121.579,25.065",11,12,18,14,214,269,121.579,25.065,POINT (121.579 25.065)
14515,2023111405,"121.597,25.025",2,0,2,0,32,36,121.597,25.025,POINT (121.597 25.025)
14516,2023111405,"121.623,25.035",7,20,12,10,44,93,121.623,25.035,POINT (121.623 25.035)
14517,2023111405,"121.629,25.033",4,12,9,12,10,47,121.629,25.033,POINT (121.629 25.033)
14518,2023111405,"121.587,25.093",4,3,2,2,4,15,121.587,25.093,POINT (121.587 25.093)
14519,2023111405,"121.567,25.023",6,17,13,47,133,216,121.567,25.023,POINT (121.567 25.023)
14520,2023111405,"121.485,25.033",19,8,10,7,40,84,121.485,25.033,POINT (121.485 25.033)
14521,2023111405,"121.513,25.023",28,53,26,55,208,370,121.513,25.023,POINT (121.513 25.023)
14522,2023111405,"121.593,25.013",0,0,0,0,10,10,121.593,25.013,POINT (121.593 25.013)
14523,2023111405,"121.531,25.093",3,10,2,9,71,95,121.531,25.093,POINT (121.531 25.093)
14524,2023111405,"121.593,25.063",23,39,27,43,170,302,121.593,25.063,POINT (121.593 25.063)
14525,2023111405,"121.553,25.013",7,9,7,8,101,132,121.553,25.013,POINT (121.553 25.013)
14526,2023111405,"121.601,25.073",24,17,29,22,150,242,121.601,25.073,POINT (121.601 25.073)
14527,2023111405,"121.499,25.013",6,8,4,14,38,70,121.499,25.013,POINT (121.499 25.013)
14528,2023111405,"121.513,25.093",6,11,18,14,54,103,121.513,25.093,POINT (121.513 25.093)
14529,2023111405,"121.609,25.031",7,0,8,11,103,129,121.609,25.031,POINT (121.609 25.031)
14530,2023111405,"121.583,25.007",2,1,2,1,40,46,121.583,25.007,POINT (121.583 25.007)
14531,2023111405,"121.555,25.017",5,32,10,25,97,169,121.555,25.017,POINT (121.555 25.017)
14532,2023111405,"121.593,25.035",1,7,1,7,26,42,121.593,25.035,POINT (121.593 25.035)
14533,2023111405,"121.607,25.081",6,5,13,7,26,57,121.607,25.081,POINT (121.607 25.081)
14534,2023111405,"121.533,25.095",8,18,6,16,108,156,121.533,25.095,POINT (121.533 25.095)
14535,2023111405,"121.575,25.025",16,13,11,7,115,162,121.575,25.025,POINT (121.575 25.025)
14536,2023111405,"121.583,25.071",17,18,16,13,218,282,121.583,25.071,POINT (121.583 25.071)
14537,2023111405,"121.577,25.005",2,7,2,6,16,33,121.577,25.005,POINT (121.577 25.005)
14538,2023111405,"121.563,25.001",12,13,21,28,133,207,121.563,25.001,POINT (121.563 25.001)
14539,2023111405,"121.507,25.081",22,16,33,46,60,177,121.507,25.081,POINT (121.507 25.081)
14540,2023111405,"121.565,25.003",17,40,22,39,306,424,121.565,25.003,POINT (121.565 25.003)
14541,2023111405,"121.589,25.033",1,5,0,1,4,11,121.589,25.033,POINT (121.589 25.033)
14542,2023111405,"121.591,25.013",1,0,0,0,0,1,121.591,25.013,POINT (121.591 25.013)
14543,2023111405,"121.587,25.005",0,1,1,0,19,21,121.587,25.005,POINT (121.587 25.005)
14544,2023111405,"121.611,25.035",5,10,30,22,188,255,121.611,25.035,POINT (121.611 25.035)
14545,2023111405,"121.599,25.065",7,18,15,33,79,152,121.599,25.065,POINT (121.599 25.065)
14546,2023111405,"121.533,25.091",2,8,1,4,23,38,121.533,25.091,POINT (121.533 25.091)
14547,2023111405,"121.587,25.091",9,2,3,5,51,70,121.587,25.091,POINT (121.587 25.091)
14548,2023111405,"121.605,25.089",2,1,3,1,9,16,121.605,25.089,POINT (121.605 25.089)
14549,2023111405,"121.555,25.077",8,29,12,22,109,180,121.555,25.077,POINT (121.555 25.077)
