,DateTime,GEO,EN,ES,WN,WS,Stop,Total,lng,lat,geometry
23270,2023111408,"121.583,25.071",177,196,145,72,512,1102,121.583,25.071,POINT (121.583 25.071)
23271,2023111408,"121.563,25.001",42,38,46,54,209,389,121.563,25.001,POINT (121.563 25.001)
23272,2023111408,"121.575,25.025",48,77,294,34,113,566,121.575,25.025,POINT (121.575 25.025)
23273,2023111408,"121.629,25.025",1,0,1,2,0,4,121.629,25.025,POINT (121.629 25.025)
23274,2023111408,"121.623,25.085",14,3,8,2,43,70,121.623,25.085,POINT (121.623 25.085)
23275,2023111408,"121.533,25.095",23,59,8,37,138,265,121.533,25.095,POINT (121.533 25.095)
23276,2023111408,"121.573,25.089",6,0,4,1,12,23,121.573,25.089,POINT (121.573 25.089)
23277,2023111408,"121.551,25.073",126,265,294,53,274,1012,121.551,25.073,POINT (121.551 25.073)
23278,2023111408,"121.561,25.067",19,17,34,20,63,153,121.561,25.067,POINT (121.561 25.067)
23279,2023111408,"121.585,25.055",95,66,36,103,275,575,121.585,25.055,POINT (121.585 25.055)
23280,2023111408,"121.585,25.097",6,7,9,8,5,35,121.585,25.097,POINT (121.585 25.097)
23281,2023111408,"121.581,25.095",2,1,4,5,3,15,121.581,25.095,POINT (121.581 25.095)
23282,2023111408,"121.531,25.073",49,415,216,57,78,815,121.531,25.073,POINT (121.531 25.073)
23283,2023111408,"121.565,25.003",41,56,58,48,287,490,121.565,25.003,POINT (121.565 25.003)
23284,2023111408,"121.589,25.033",1,10,3,8,9,31,121.589,25.033,POINT (121.589 25.033)
23285,2023111408,"121.509,25.077",483,381,245,91,102,1302,121.509,25.077,POINT (121.509 25.077)
23286,2023111408,"121.649,25.027",0,3,1,2,27,33,121.649,25.027,POINT (121.649 25.027)
23287,2023111408,"121.583,25.013",18,2,14,3,3,40,121.583,25.013,POINT (121.583 25.013)
23288,2023111408,"121.531,25.075",35,63,116,12,28,254,121.531,25.075,POINT (121.531 25.075)
23289,2023111408,"121.567,25.073",11,14,19,9,17,70,121.567,25.073,POINT (121.567 25.073)
23290,2023111408,"121.589,25.035",8,49,5,42,20,124,121.589,25.035,POINT (121.589 25.035)
23291,2023111408,"121.605,25.031",2,0,4,3,1,10,121.605,25.031,POINT (121.605 25.031)
23292,2023111408,"121.607,25.065",102,138,96,382,144,862,121.607,25.065,POINT (121.607 25.065)
23293,2023111408,"121.595,25.093",3,4,5,9,6,27,121.595,25.093,POINT (121.595 25.093)
23294,2023111408,"121.579,25.021",21,14,41,2,31,109,121.579,25.021,POINT (121.579 25.021)
23295,2023111408,"121.525,25.075",193,398,272,276,89,1228,121.525,25.075,POINT (121.525 25.075)
23296,2023111408,"121.585,25.015",13,3,10,1,15,42,121.585,25.015,POINT (121.585 25.015)
23297,2023111408,"121.527,25.075",276,343,307,78,105,1109,121.527,25.075,POINT (121.527 25.075)
23298,2023111408,"121.587,25.015",10,1,5,6,14,36,121.587,25.015,POINT (121.587 25.015)
23299,2023111408,"121.545,25.085",153,99,244,174,856,1526,121.545,25.085,POINT (121.545 25.085)
23300,2023111408,"121.603,25.045",0,1,1,0,2,4,121.603,25.045,POINT (121.603 25.045)
23301,2023111408,"121.601,25.065",119,186,130,337,225,997,121.601,25.065,POINT (121.601 25.065)
23302,2023111408,"121.509,25.073",67,132,141,87,129,556,121.509,25.073,POINT (121.509 25.073)
23303,2023111408,"121.561,25.093",24,3,18,5,60,110,121.561,25.093,POINT (121.561 25.093)
23304,2023111408,"121.583,25.027",2,5,0,6,10,23,121.583,25.027,POINT (121.583 25.027)
23305,2023111408,"121.549,25.097",180,155,157,83,721,1296,121.549,25.097,POINT (121.549 25.097)
