,DateTime,GEO,EN,ES,WN,WS,Stop,Total,lng,lat,geometry
8696,2023111403,"121.591,25.017",0,0,0,0,7,7,121.591,25.017,POINT (121.591 25.017)
8697,2023111403,"121.611,25.087",2,2,0,2,2,8,121.611,25.087,POINT (121.611 25.087)
8698,2023111403,"121.567,25.077",20,17,3,17,137,194,121.567,25.077,POINT (121.567 25.077)
8699,2023111403,"121.557,25.009",10,6,21,22,50,109,121.557,25.009,POINT (121.557 25.009)
8700,2023111403,"121.605,25.069",14,33,27,48,179,301,121.605,25.069,POINT (121.605 25.069)
8701,2023111403,"121.549,25.089",4,1,7,0,11,23,121.549,25.089,POINT (121.549 25.089)
8702,2023111403,"121.503,25.087",7,10,15,32,86,150,121.503,25.087,POINT (121.503 25.087)
8703,2023111403,"121.569,25.009",8,1,5,6,70,90,121.569,25.009,POINT (121.569 25.009)
8704,2023111403,"121.549,25.097",16,14,6,17,354,407,121.549,25.097,POINT (121.549 25.097)
8705,2023111403,"121.503,25.017",8,20,8,12,53,101,121.503,25.017,POINT (121.503 25.017)
8706,2023111403,"121.597,25.063",12,12,11,25,182,242,121.597,25.063,POINT (121.597 25.063)
8707,2023111403,"121.557,25.011",2,7,17,5,20,51,121.557,25.011,POINT (121.557 25.011)
8708,2023111403,"121.607,25.051",3,6,6,28,59,102,121.607,25.051,POINT (121.607 25.051)
8709,2023111403,"121.609,25.031",2,4,7,10,112,135,121.609,25.031,POINT (121.609 25.031)
8710,2023111403,"121.563,25.019",15,9,3,6,37,70,121.563,25.019,POINT (121.563 25.019)
8711,2023111403,"121.615,25.039",8,4,18,9,122,161,121.615,25.039,POINT (121.615 25.039)
8712,2023111403,"121.543,25.007",3,0,5,3,46,57,121.543,25.007,POINT (121.543 25.007)
8713,2023111403,"121.553,25.009",1,0,1,0,7,9,121.553,25.009,POINT (121.553 25.009)
8714,2023111403,"121.623,25.087",12,3,3,4,24,46,121.623,25.087,POINT (121.623 25.087)
8715,2023111403,"121.597,25.077",7,8,4,15,51,85,121.597,25.077,POINT (121.597 25.077)
8716,2023111403,"121.543,25.077",6,6,10,20,60,102,121.543,25.077,POINT (121.543 25.077)
8717,2023111403,"121.579,25.071",14,17,21,39,249,340,121.579,25.071,POINT (121.579 25.071)
8718,2023111403,"121.541,25.097",11,15,36,15,90,167,121.541,25.097,POINT (121.541 25.097)
8719,2023111403,"121.583,25.031",1,2,2,4,13,22,121.583,25.031,POINT (121.583 25.031)
8720,2023111403,"121.567,25.009",5,10,6,12,52,85,121.567,25.009,POINT (121.567 25.009)
8721,2023111403,"121.637,25.031",0,6,2,1,1,10,121.637,25.031,POINT (121.637 25.031)
8722,2023111403,"121.531,25.011",12,23,14,20,128,197,121.531,25.011,POINT (121.531 25.011)
8723,2023111403,"121.533,25.079",14,9,18,13,457,511,121.533,25.079,POINT (121.533 25.079)
8724,2023111403,"121.525,25.071",1,2,6,5,64,78,121.525,25.071,POINT (121.525 25.071)
8725,2023111403,"121.553,25.013",1,8,4,8,117,138,121.553,25.013,POINT (121.553 25.013)
8726,2023111403,"121.601,25.073",9,29,22,18,167,245,121.601,25.073,POINT (121.601 25.073)
8727,2023111403,"121.593,25.063",24,19,24,21,192,280,121.593,25.063,POINT (121.593 25.063)
8728,2023111403,"121.579,25.023",1,3,1,0,13,18,121.579,25.023,POINT (121.579 25.023)
8729,2023111403,"121.491,25.011",16,13,9,13,119,170,121.491,25.011,POINT (121.491 25.011)
8730,2023111403,"121.619,25.081",5,2,3,3,8,21,121.619,25.081,POINT (121.619 25.081)
8731,2023111403,"121.611,25.031",2,3,8,6,265,284,121.611,25.031,POINT (121.611 25.031)
8732,2023111403,"121.537,25.093",1,1,0,0,1,3,121.537,25.093,POINT (121.537 25.093)
8733,2023111403,"121.607,25.027",4,1,2,3,7,17,121.607,25.027,POINT (121.607 25.027)
8734,2023111403,"121.603,25.067",18,24,6,15,271,334,121.603,25.067,POINT (121.603 25.067)
8735,2023111403,"121.539,25.073",11,9,21,7,76,124,121.539,25.073,POINT (121.539 25.073)
8736,2023111403,"121.491,25.013",8,4,9,9,34,64,121.491,25.013,POINT (121.491 25.013)
8737,2023111403,"121.573,25.003",29,18,14,15,287,363,121.573,25.003,POINT (121.573 25.003)
8738,2023111403,"121.569,25.077",2,7,2,6,115,132,121.569,25.077,POINT (121.569 25.077)
8739,2023111403,"121.615,25.037",14,23,31,31,286,385,121.615,25.037,POINT (121.615 25.037)
8740,2023111403,"121.519,25.037",5,8,11,14,172,210,121.519,25.037,POINT (121.519 25.037)
8741,2023111403,"121.627,25.037",16,20,16,18,365,435,121.627,25.037,POINT (121.627 25.037)
8742,2023111403,"121.589,25.005",3,3,3,3,29,41,121.589,25.005,POINT (121.589 25.005)
8743,2023111403,"121.553,25.095",4,7,0,2,11,24,121.553,25.095,POINT (121.553 25.095)
8744,2023111403,"121.567,25.071",7,3,3,8,24,45,121.567,25.071,POINT (121.567 25.071)
8745,2023111403,"121.571,25.061",34,13,8,5,112,172,121.571,25.061,POINT (121.571 25.061)
