,DateTime,GEO,EN,ES,WN,WS,Stop,Total,lng,lat,geometry
49684,2023111418,"121.619,25.081",5,4,11,7,38,65,121.619,25.081,POINT (121.619 25.081)
49685,2023111418,"121.591,25.091",7,2,26,3,74,112,121.591,25.091,POINT (121.591 25.091)
49686,2023111418,"121.551,25.089",5,10,21,2,22,60,121.551,25.089,POINT (121.551 25.089)
49687,2023111418,"121.553,25.009",1,3,5,3,5,17,121.553,25.009,POINT (121.553 25.009)
49688,2023111418,"121.603,25.091",9,2,9,1,12,33,121.603,25.091,POINT (121.603 25.091)
49689,2023111418,"121.605,25.021",6,0,1,4,3,14,121.605,25.021,POINT (121.605 25.021)
49690,2023111418,"121.623,25.087",17,1,4,1,35,58,121.623,25.087,POINT (121.623 25.087)
49691,2023111418,"121.533,25.087",6,3,7,2,10,28,121.533,25.087,POINT (121.533 25.087)
49692,2023111418,"121.579,25.017",21,38,19,6,30,114,121.579,25.017,POINT (121.579 25.017)
49693,2023111418,"121.617,25.087",1,1,2,1,0,5,121.617,25.087,POINT (121.617 25.087)
49694,2023111418,"121.561,25.075",7,17,30,44,29,127,121.561,25.075,POINT (121.561 25.075)
49695,2023111418,"121.505,25.095",9,7,11,7,33,67,121.505,25.095,POINT (121.505 25.095)
49696,2023111418,"121.575,25.009",5,11,1,2,16,35,121.575,25.009,POINT (121.575 25.009)
49697,2023111418,"121.503,25.099",13,25,11,23,28,100,121.503,25.099,POINT (121.503 25.099)
49698,2023111418,"121.637,25.027",0,2,1,3,6,12,121.637,25.027,POINT (121.637 25.027)
49699,2023111418,"121.575,25.015",2,2,3,6,29,42,121.575,25.015,POINT (121.575 25.015)
49700,2023111418,"121.535,25.075",14,14,45,15,13,101,121.535,25.075,POINT (121.535 25.075)
49701,2023111418,"121.553,25.089",4,3,6,2,12,27,121.553,25.089,POINT (121.553 25.089)
49702,2023111418,"121.623,25.019",1,9,0,5,0,15,121.623,25.019,POINT (121.623 25.019)
49703,2023111418,"121.487,25.029",27,17,30,46,38,158,121.487,25.029,POINT (121.487 25.029)
49704,2023111418,"121.579,25.029",6,17,0,6,20,49,121.579,25.029,POINT (121.579 25.029)
49705,2023111418,"121.545,25.009",3,27,9,25,29,93,121.545,25.009,POINT (121.545 25.009)
49706,2023111418,"121.617,25.085",4,0,1,0,1,6,121.617,25.085,POINT (121.617 25.085)
49707,2023111418,"121.613,25.083",0,0,1,3,1,5,121.613,25.083,POINT (121.613 25.083)
49708,2023111418,"121.605,25.099",4,2,3,0,3,12,121.605,25.099,POINT (121.605 25.099)
49709,2023111418,"121.487,25.039",5,4,3,5,9,26,121.487,25.039,POINT (121.487 25.039)
49710,2023111418,"121.591,25.095",0,1,0,1,4,6,121.591,25.095,POINT (121.591 25.095)
49711,2023111418,"121.593,25.093",0,1,1,1,3,6,121.593,25.093,POINT (121.593 25.093)
49712,2023111418,"121.587,25.097",2,1,2,0,3,8,121.587,25.097,POINT (121.587 25.097)
49713,2023111418,"121.603,25.027",11,0,5,13,0,29,121.603,25.027,POINT (121.603 25.027)
49714,2023111418,"121.599,25.025",8,0,3,18,28,57,121.599,25.025,POINT (121.599 25.025)
49715,2023111418,"121.607,25.035",1,0,0,1,3,5,121.607,25.035,POINT (121.607 25.035)
49716,2023111418,"121.619,25.095",1,0,2,0,0,3,121.619,25.095,POINT (121.619 25.095)
49717,2023111418,"121.511,25.095",10,12,14,11,37,84,121.511,25.095,POINT (121.511 25.095)
49718,2023111418,"121.575,25.089",4,3,3,2,8,20,121.575,25.089,POINT (121.575 25.089)
49719,2023111418,"121.581,25.027",1,4,1,4,5,15,121.581,25.027,POINT (121.581 25.027)
49720,2023111418,"121.603,25.077",11,11,13,3,29,67,121.603,25.077,POINT (121.603 25.077)
49721,2023111418,"121.605,25.093",13,2,7,2,15,39,121.605,25.093,POINT (121.605 25.093)
49722,2023111418,"121.541,25.087",12,4,4,2,11,33,121.541,25.087,POINT (121.541 25.087)
49723,2023111418,"121.579,25.095",0,0,1,1,1,3,121.579,25.095,POINT (121.579 25.095)
49724,2023111418,"121.563,25.075",8,25,18,32,32,115,121.563,25.075,POINT (121.563 25.075)
49725,2023111418,"121.607,25.093",6,2,4,1,1,14,121.607,25.093,POINT (121.607 25.093)
49726,2023111418,"121.587,25.023",0,3,0,0,0,3,121.587,25.023,POINT (121.587 25.023)
49727,2023111418,"121.603,25.043",3,0,1,0,0,4,121.603,25.043,POINT (121.603 25.043)
49728,2023111418,"121.589,25.093",8,4,22,3,48,85,121.589,25.093,POINT (121.589 25.093)
49729,2023111418,"121.559,25.093",2,1,18,0,7,28,121.559,25.093,POINT (121.559 25.093)
49730,2023111418,"121.595,25.015",1,0,1,2,0,4,121.595,25.015,POINT (121.595 25.015)
49731,2023111418,"121.599,25.095",2,0,0,1,3,6,121.599,25.095,POINT (121.599 25.095)
49732,2023111418,"121.589,25.031",2,1,0,1,4,8,121.589,25.031,POINT (121.589 25.031)
49733,2023111418,"121.621,25.031",9,7,17,15,17,65,121.621,25.031,POINT (121.621 25.031)
49734,2023111418,"121.551,25.011",2,5,2,4,2,15,121.551,25.011,POINT (121.551 25.011)
49735,2023111418,"121.597,25.091",0,3,3,6,6,18,121.597,25.091,POINT (121.597 25.091)
49736,2023111418,"121.609,25.027",17,0,3,5,0,25,121.609,25.027,POINT (121.609 25.027)
49737,2023111418,"121.601,25.093",3,1,0,0,2,6,121.601,25.093,POINT (121.601 25.093)
49738,2023111418,"121.567,25.073",6,6,20,21,31,84,121.567,25.073,POINT (121.567 25.073)
49739,2023111418,"121.585,25.073",10,25,12,20,30,97,121.585,25.073,POINT (121.585 25.073)
49740,2023111418,"121.563,25.011",24,128,61,44,99,356,121.563,25.011,POINT (121.563 25.011)
49741,2023111418,"121.557,25.071",20,50,45,30,71,216,121.557,25.071,POINT (121.557 25.071)
49742,2023111418,"121.583,25.081",125,106,96,65,418,810,121.583,25.081,POINT (121.583 25.081)
49743,2023111418,"121.587,25.041",173,214,143,222,1614,2366,121.587,25.041,POINT (121.587 25.041)
49744,2023111418,"121.529,25.081",6,11,15,3,40,75,121.529,25.081,POINT (121.529 25.081)
